City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
199,taco pozo,-25.6167,-63.2833,81.43,74,100,10.49,AR,1732586950
200,kananga,-5.8958,22.4178,68.18,99,100,2.06,CD,1732586951
201,celica,-4.1167,-79.95,60.51,76,86,4.5,EC,1732586952
202,fort bragg,35.139,-79.006,57.79,78,4,8.01,US,1732586918
203,quellon,-43.1167,-73.6167,47.89,91,33,6.51,CL,1732586955
204,kirakira,-10.4544,161.9205,86.61,67,66,7.94,SB,1732586956
205,fortaleza,-3.7227,-38.5247,81.21,78,40,8.05,BR,1732586891
206,badger,64.8,-147.5333,21.45,88,75,3.44,US,1732586789
207,nasir,15.5894,32.5634,68.49,34,0,17.09,SD,1732586960
208,enkoping,59.6361,17.0777,46.26,85,100,13.0,SE,1732586962
209,mejit,10.2753,170.8646,82.83,81,57,19.91,MH,1732586963
210,northam,51.0333,-4.2167,43.61,91,94,12.91,GB,1732586964
211,hengchun,22.0042,120.7439,77.79,67,0,4.72,TW,1732586965
212,thompson,55.7435,-97.8558,8.74,96,100,6.8,CA,1732586967
213,atherton,53.5237,-2.4935,42.26,91,43,1.99,GB,1732586852
214,ust-nera,64.5667,143.2,-22.72,99,66,4.07,RU,1732586972
215,thunder bay,48.4001,-89.3168,29.39,96,100,2.77,CA,1732586973
216,uturoa,-16.7333,-151.4333,80.58,78,98,12.44,PF,1732586974
217,nova xavantina,-14.6667,-52.35,72.46,98,3,2.62,BR,1732586975
218,senise,40.1471,16.2889,47.89,83,7,4.74,IT,1732586976
219,shache,38.4167,77.2406,35.8,47,33,5.66,CN,1732586977
220,mercedes,-34.6515,-59.4307,70.79,85,0,14.9,AR,1732586806
221,nemuro,43.3236,145.575,37.76,59,4,4.81,JP,1732586980
222,enewetak,11.3474,162.3373,82.87,82,26,18.77,MH,1732586981
223,borovskoy,53.8,64.15,15.55,90,38,3.98,KZ,1732586982
224,ustka,54.5805,16.8619,48.97,78,97,13.31,PL,1732586983
225,crescent city,41.756,-124.2018,52.48,92,100,10.36,US,1732586776
226,qamdo,31.1667,97.2333,26.67,39,99,4.12,CN,1732586985
227,dryden,49.7833,-92.7503,21.49,86,100,11.5,CA,1732586986
228,newman,37.3138,-121.0208,57.04,85,100,7.0,US,1732586987
229,ust'-ordynskiy,52.805,104.7508,13.23,95,100,2.77,RU,1732586988
230,waldfischbach-burgalben,49.2833,7.6667,48.43,91,100,4.61,DE,1732586990
231,lensk,60.7253,114.9278,-7.01,85,100,4.61,RU,1732586992
232,olyokminsk,60.3736,120.4264,-16.96,99,84,1.74,RU,1732586993
233,coquimbo,-29.9533,-71.3436,59.99,73,0,0.0,CL,1732586995
234,likiep,9.8251,169.3107,83.43,81,41,18.7,MH,1732586997
235,lompoc,34.6391,-120.4579,57.69,86,100,14.97,US,1732586908
236,nema,57.5067,50.5011,25.36,98,58,2.51,RU,1732586999
237,bac lieu,9.285,105.7244,83.34,75,100,18.68,VN,1732587000
238,tadine,-21.55,167.8833,75.24,90,100,17.29,NC,1732587001
239,macas,-2.3167,-78.1167,67.48,97,32,3.06,EC,1732587002
240,necochea,-38.5473,-58.7368,54.61,78,0,13.73,AR,1732586960
241,revelstoke,50.9832,-118.2023,33.82,93,100,2.3,CA,1732587004
242,katsuren-haebaru,26.3369,127.8719,81.09,68,75,11.5,JP,1732587005
243,och'amch'ire,42.7123,41.4686,45.37,84,100,3.22,GE,1732587007
244,remire-montjoly,4.9167,-52.2667,82.44,83,100,4.61,GF,1732587008
245,homer,59.6425,-151.5483,37.29,78,20,4.61,US,1732586831
246,bowen,-20.0167,148.2333,80.56,69,27,16.04,AU,1732587010
247,xianning,29.8833,114.2167,51.96,34,53,6.13,CN,1732587011
248,dudinka,69.4058,86.1778,23.29,92,100,18.19,RU,1732587012
249,usogorsk,63.4106,48.6872,31.28,91,100,14.94,RU,1732587013
250,uvira,-3.4067,29.1458,71.51,85,81,4.27,CD,1732587014
251,san pedro pochutla,15.7333,-96.4667,76.71,94,0,2.95,MX,1732587016
252,suicheng,33.8963,117.9331,39.67,36,0,13.18,CN,1732587017
253,nagqu,31.5,92.0,19.04,22,100,1.88,CN,1732587018
254,onguday,50.75,86.15,19.38,75,41,4.27,RU,1732587019
255,taulaga,-11.0553,-171.0883,83.21,75,20,14.54,AS,1732587023
